"sbd","toan","ngu_van","ngoai_ngu","vat_li","hoa_hoc","sinh_hoc","lich_su","dia_li","gdcd","ma_ngoai_ngu"
2000932,8,8,9,NA,NA,NA,9,8.5,8.75,"Japanese"
2002361,8,7.5,9.2,NA,NA,NA,7,7.25,7,"Japanese"
2002403,5,4.75,3.8,NA,NA,NA,5.25,5.75,6,"Japanese"
2002792,7,7,4.2,NA,NA,NA,8.25,8,8,"Japanese"
2002838,7.4,5.75,7.2,NA,NA,NA,7,7.25,7.5,"Japanese"
2002841,7,5,3,NA,NA,NA,4.75,7.25,5,"Japanese"
2002873,7.4,7.5,6.2,NA,NA,NA,8,8,9.5,"Japanese"
2002887,7.8,7.75,10,NA,NA,NA,8.75,8,9.25,"Japanese"
2003275,7.8,6,8.6,NA,NA,NA,7.5,7.75,8.75,"Japanese"
2003416,7.8,5.25,5.8,8,7.5,4.75,NA,NA,NA,"Japanese"
2003421,6.2,6,2,NA,NA,NA,8,9,9,"Japanese"
2003435,6.4,6.5,5.4,NA,NA,NA,8,8.5,8.75,"Japanese"
2003686,8.8,4.5,7.8,5.75,9,7.75,NA,NA,NA,"Japanese"
2003755,6.8,8,4.6,NA,NA,NA,6,7.5,9,"Japanese"
2003801,8,8,4.4,NA,NA,NA,7.75,8,9.25,"Japanese"
2003836,5.8,6.25,6.2,NA,NA,NA,8.25,7.5,7.5,"Japanese"
2003901,8.4,7.5,6,8,9,7.5,NA,NA,NA,"Japanese"
2003914,6.4,6.25,4,NA,NA,NA,5.5,6,7.75,"Japanese"
2004068,7.8,7.75,8.4,NA,NA,NA,9.5,8.25,9,"Japanese"
2004088,7.6,7.5,4.8,8,9,8,NA,NA,NA,"Japanese"
2004112,7.8,6.25,6,NA,NA,NA,7,8.5,9.5,"Japanese"
2004119,6.8,5.75,6,NA,NA,NA,8.25,7.5,8.5,"Japanese"
2004123,6.6,3.75,4.8,NA,NA,NA,5.75,5.5,6.75,"Japanese"
2004143,7,6.25,3.4,7,6.25,6.5,NA,NA,NA,"Japanese"
2004307,5,6.25,6.6,NA,NA,NA,6.75,7.25,8.25,"Japanese"
2004319,8.6,7.75,9.4,NA,NA,NA,6.75,6.5,7.5,"Japanese"
2004401,8.4,7,9,7.75,6.25,6,NA,NA,NA,"Japanese"
2004915,8.2,7,7.6,NA,NA,NA,7.75,8.25,9.5,"Japanese"
2005032,5.8,7.75,8.4,NA,NA,NA,7,7.75,7.75,"Japanese"
2005441,7.2,8,7.6,6.75,7.25,5.75,NA,NA,NA,"Japanese"
2005487,7,7.75,8.8,NA,NA,NA,6.75,8,8.75,"Japanese"
2005558,7.4,8.25,9.4,NA,NA,NA,8.75,8.5,9.5,"Japanese"
2005590,6.8,6.5,9,NA,NA,NA,6.75,7.5,8.25,"Japanese"
2005617,8.2,6.75,9.8,NA,NA,NA,8,8.5,9,"Japanese"
2005629,7.8,7.75,7.4,8,7.5,8,NA,NA,NA,"Japanese"
2005651,6.2,7.5,9.2,NA,NA,NA,7.5,7.5,9.25,"Japanese"
2005656,7.4,6.75,7.6,NA,NA,NA,8.25,7.5,9.25,"Japanese"
2005730,8.2,6.75,6.2,6.5,6.5,7.25,NA,NA,NA,"Japanese"
2005732,6.2,6.5,7,NA,NA,NA,6,7.5,9,"Japanese"
